cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.001575,0,,99,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.001575,0,,98,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.003175,0,,97,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.001575,0,,96,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00165,0,,95,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00275,0,,94,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.002075,0,,93,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0027,0,,92,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0018,0,,91,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0007,.000025,,90,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00005,0,,9,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0024,0,,89,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0017,0,,88,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0014,0,,87,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0018,0,,86,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0011,0,,85,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000775,0,,84,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00245,0,,83,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00235,0,,82,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.001025,0,,81,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0014,.000025,,80,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0001,0,,8,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00085,0,,79,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0011,.000025,,78,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00155,0,,77,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00185,0,,76,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.001,0,,75,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.001,0,,74,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000475,0,,73,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.001325,0,,72,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0011,0,,71,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00055,0,,70,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00005,0,,7,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.001075,0,,69,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000875,0,,68,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000675,0,,67,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00055,0,,66,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0007,0,,65,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0005,0,,64,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000775,0,,63,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000825,0,,62,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00065,0,,61,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000475,.000025,,60,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,0,,6,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0006,0,,59,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0006,0,,58,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00075,0,,57,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000425,0,,56,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0007,0,,55,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000425,0,,54,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,0,,538,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,537,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000025,,536,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000025,,535,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0005,,534,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00005,,533,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000025,,532,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00005,,531,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0001,,530,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000225,0,,53,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00005,,529,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0001,,528,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,527,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00005,,526,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000125,,525,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000225,,524,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0002,,523,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000125,,522,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,521,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000225,,520,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0009,0,,52,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0001,,519,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0001,,518,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00015,,517,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000125,,516,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000325,,515,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,514,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00015,,513,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,512,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000075,,511,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000225,,510,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000625,0,,51,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0002,,509,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00015,,508,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00025,,507,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,506,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,505,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000425,,504,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00015,,503,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0001,,502,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000375,,501,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00025,,500,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00025,0,,50,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00005,0,,5,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000375,,499,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000275,,498,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,497,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00025,,496,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000175,,495,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00025,,494,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0004,,493,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000475,,492,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0001,,491,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.0004,,490,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0006,0,,49,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0006,,489,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00025,,488,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000625,,487,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0009,,486,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000225,,485,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000425,,484,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0007,,483,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000425,,482,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00075,,481,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0006,,480,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0004,.000025,,48,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0006,,479,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.000475,,478,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00065,,477,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000825,,476,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000775,,475,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0005,,474,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0007,,473,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00055,,472,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000675,,471,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000875,,470,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0001,0,,47,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001075,,469,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00055,,468,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0011,,467,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001325,,466,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000475,,465,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001,,464,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001,,463,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00185,,462,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00155,,461,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.0011,,460,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000475,0,,46,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00085,,459,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.0014,,458,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001025,,457,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00235,,456,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00245,,455,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.000775,,454,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0011,,453,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0018,,452,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0014,,451,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0017,,450,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.0004,0,,45,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0024,,449,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.0007,,448,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0018,,447,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0027,,446,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.002075,,445,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00275,,444,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00165,,443,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001575,,442,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.003175,,441,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001575,,440,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00025,0,,44,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001575,,439,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00405,,438,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001875,,437,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.002725,,436,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.006075,,435,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0021,,434,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0015,,433,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.003325,,432,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00455,,431,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.002275,,430,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000175,0,,43,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.003,,429,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.005325,,428,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.00335,,427,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0048,,426,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0074,,425,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.001975,,424,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.0027,,423,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.009325,,422,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.000025,.005425,,421,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.00175,,420,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",.00025,0,,42,13:41:03 11 Oct 2020,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,"",0,.007075,,419,13:41:03 11 Oct 2020,40000
